date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2020-09-11,16.0,0.0,9.0
2020-09-10,18.0,0.0,8.0
2020-09-09,16.0,0.0,4.0
2020-09-08,10.0,0.0,4.0
2020-09-07,12.0,0.0,5.0
2020-09-06,11.0,0.0,1.0
2020-09-05,11.0,0.0,1.0
2020-09-04,12.0,0.0,0.0
2020-09-03,13.0,1.0,1.0
2020-09-02,13.0,1.0,1.0
2020-09-01,13.0,1.0,1.0
2020-08-31,13.0,1.0,1.0
2020-08-30,13.0,1.0,0.0
2020-08-29,16.0,0.0,1.0
2020-08-28,11.0,0.0,0.0
2020-08-27,12.0,0.0,5.0
2020-08-26,8.0,0.0,1.0
2020-08-25,10.0,0.0,2.0
2020-08-24,11.0,0.0,1.0
2020-08-23,10.0,0.0,1.0
2020-08-22,9.0,0.0,0.0
2020-08-21,9.0,0.0,1.0
2020-08-20,9.0,0.0,1.0
2020-08-19,9.0,0.0,0.0
2020-08-18,9.0,1.0,2.0
2020-08-17,7.0,1.0,3.0
2020-08-16,10.0,1.0,1.0
2020-08-15,10.0,1.0,0.0
2020-08-14,10.0,1.0,0.0
2020-08-13,12.0,1.0,3.0
2020-08-12,11.0,1.0,1.0
2020-08-11,13.0,1.0,1.0
2020-08-10,12.0,1.0,0.0
2020-08-09,12.0,1.0,0.0
2020-08-08,12.0,1.0,0.0
2020-08-07,15.0,1.0,0.0
2020-08-06,16.0,1.0,1.0
2020-08-05,18.0,2.0,2.0
2020-08-04,19.0,3.0,0.0
2020-08-03,17.0,2.0,1.0
2020-08-02,,,1.0
2020-08-01,18.0,2.0,1.0
2020-07-31,19.0,1.0,0.0
2020-07-30,19.0,1.0,1.0
2020-07-29,21.0,0.0,0.0
2020-07-28,21.0,0.0,4.0
2020-07-27,23.0,3.0,1.0
2020-07-26,23.0,3.0,2.0
2020-07-25,26.0,4.0,1.0
2020-07-24,29.0,4.0,1.0
2020-07-23,26.0,4.0,1.0
2020-07-22,24.0,4.0,2.0
2020-07-21,27.0,4.0,3.0
2020-07-20,31.0,5.0,2.0
2020-07-19,33.0,5.0,0.0
2020-07-18,33.0,5.0,2.0
2020-07-17,40.0,7.0,2.0
2020-07-16,43.0,6.0,4.0
2020-07-15,45.0,7.0,3.0
2020-07-14,47.0,6.0,1.0
2020-07-13,47.0,7.0,5.0
2020-07-12,49.0,7.0,3.0
2020-07-11,49.0,7.0,1.0
2020-07-10,50.0,8.0,2.0
2020-07-09,54.0,11.0,4.0
2020-07-08,55.0,11.0,3.0
2020-07-07,59.0,11.0,7.0
2020-07-06,61.0,11.0,2.0
2020-07-05,64.0,11.0,4.0
2020-07-04,69.0,11.0,1.0
2020-07-03,70.0,12.0,4.0
2020-07-02,68.0,12.0,2.0
2020-07-01,70.0,13.0,6.0
2020-06-30,78.0,11.0,8.0
2020-06-29,81.0,9.0,6.0
2020-06-28,80.0,10.0,4.0
2020-06-27,74.0,11.0,4.0
2020-06-26,75.0,9.0,8.0
2020-06-25,67.0,10.0,8.0
2020-06-24,71.0,11.0,6.0
2020-06-23,68.0,12.0,11.0
2020-06-22,73.0,12.0,9.0
2020-06-21,77.0,12.0,3.0
2020-06-20,84.0,11.0,4.0
2020-06-19,80.0,12.0,8.0
2020-06-18,84.0,14.0,7.0
2020-06-17,82.0,13.0,12.0
2020-06-16,92.0,11.0,6.0
2020-06-15,79.0,10.0,10.0
2020-06-14,80.0,11.0,7.0
2020-06-13,79.0,11.0,9.0
2020-06-12,81.0,12.0,4.0
2020-06-11,80.0,11.0,5.0
2020-06-10,75.0,12.0,13.0
2020-06-09,84.0,11.0,13.0
2020-06-08,83.0,9.0,4.0
2020-06-07,83.0,10.0,8.0
