date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions
2020-08-10,2.0,0.0,0.0
2020-08-09,3.0,2.0,0.0
2020-08-08,2.0,1.0,0.0
2020-08-07,1.0,0.0,1.0
2020-08-06,2.0,0.0,1.0
2020-08-05,3.0,1.0,1.0
2020-08-04,3.0,1.0,0.0
2020-08-03,4.0,2.0,0.0
2020-08-02,2.0,0.0,1.0
2020-08-01,2.0,2.0,0.0
2020-07-31,3.0,2.0,0.0
2020-07-30,2.0,1.0,0.0
2020-07-29,6.0,1.0,0.0
2020-07-28,4.0,1.0,0.0
2020-07-27,5.0,1.0,0.0
2020-07-26,6.0,2.0,1.0
2020-07-25,4.0,1.0,0.0
2020-07-24,5.0,2.0,1.0
2020-07-23,5.0,2.0,3.0
2020-07-22,5.0,2.0,0.0
2020-07-21,5.0,2.0,1.0
2020-07-20,5.0,1.0,1.0
2020-07-19,5.0,1.0,1.0
2020-07-18,2.0,1.0,0.0
2020-07-17,4.0,1.0,0.0
2020-07-16,2.0,0.0,1.0
2020-07-15,3.0,1.0,2.0
2020-07-14,8.0,5.0,1.0
2020-07-13,5.0,2.0,0.0
2020-07-12,8.0,5.0,0.0
2020-07-11,10.0,6.0,0.0
2020-07-10,10.0,4.0,0.0
2020-07-09,11.0,6.0,0.0
2020-07-08,12.0,7.0,3.0
2020-07-07,11.0,6.0,1.0
2020-07-06,11.0,6.0,2.0
2020-07-05,9.0,6.0,1.0
2020-07-04,9.0,6.0,0.0
2020-07-03,12.0,7.0,0.0
2020-07-02,12.0,7.0,3.0
2020-07-01,11.0,7.0,3.0
2020-06-30,10.0,8.0,2.0
2020-06-29,9.0,7.0,2.0
2020-06-28,10.0,9.0,1.0
2020-06-27,9.0,8.0,0.0
2020-06-26,9.0,8.0,0.0
2020-06-25,10.0,8.0,2.0
2020-06-24,12.0,11.0,2.0
2020-06-23,14.0,11.0,0.0
2020-06-22,17.0,11.0,0.0
2020-06-21,15.0,10.0,1.0
2020-06-20,20.0,10.0,1.0
2020-06-19,17.0,10.0,0.0
2020-06-18,12.0,11.0,0.0
2020-06-17,17.0,10.0,1.0
2020-06-16,40.0,17.0,1.0
2020-06-15,18.0,11.0,2.0
2020-06-14,15.0,11.0,1.0
2020-06-13,17.0,10.0,0.0
2020-06-12,18.0,11.0,1.0
2020-06-11,16.0,10.0,1.0
2020-06-10,13.0,7.0,0.0
2020-06-09,35.0,12.0,0.0
2020-06-08,42.0,7.0,0.0
2020-06-07,48.0,11.0,1.0
2020-06-06,47.0,11.0,1.0
2020-06-05,49.0,10.0,1.0
2020-06-04,37.0,12.0,1.0
2020-06-03,37.0,10.0,2.0
2020-06-02,31.0,8.0,2.0
2020-06-01,44.0,11.0,1.0
2020-05-31,40.0,14.0,1.0
2020-05-30,53.0,18.0,0.0
2020-05-29,50.0,15.0,1.0
2020-05-28,52.0,18.0,2.0
2020-05-27,62.0,21.0,3.0
2020-05-26,59.0,27.0,3.0
2020-05-25,60.0,26.0,4.0
2020-05-24,56.0,25.0,0.0
2020-05-23,86.0,26.0,0.0
2020-05-22,88.0,23.0,2.0
2020-05-21,74.0,30.0,1.0
2020-05-20,77.0,33.0,0.0
2020-05-19,89.0,34.0,1.0
2020-05-18,82.0,26.0,1.0
2020-05-17,86.0,34.0,0.0
2020-05-16,77.0,37.0,1.0
2020-05-15,101.0,43.0,1.0
2020-05-14,94.0,40.0,3.0
2020-05-13,100.0,37.0,5.0
2020-05-12,103.0,42.0,1.0
2020-05-11,116.0,51.0,2.0
2020-05-10,97.0,45.0,2.0
2020-05-09,114.0,52.0,4.0
2020-05-08,129.0,58.0,5.0
2020-05-07,156.0,62.0,2.0
2020-05-06,128.0,64.0,7.0
2020-05-05,160.0,61.0,7.0
2020-05-04,149.0,66.0,8.0
2020-05-03,149.0,67.0,19.0
2020-05-02,155.0,65.0,5.0
2020-05-01,183.0,88.0,7.0
2020-04-30,155.0,72.0,8.0
2020-04-29,160.0,69.0,10.0
2020-04-28,180.0,77.0,9.0
2020-04-27,186.0,80.0,6.0
2020-04-26,185.0,87.0,12.0
2020-04-25,232.0,106.0,6.0
2020-04-24,234.0,99.0,12.0
2020-04-23,227.0,99.0,5.0
2020-04-22,212.0,99.0,13.0
2020-04-21,233.0,101.0,20.0
2020-04-20,214.0,106.0,18.0
2020-04-19,244.0,111.0,24.0
2020-04-18,269.0,109.0,8.0
2020-04-17,213.0,78.0,23.0
2020-04-16,225.0,115.0,31.0
2020-04-15,236.0,110.0,38.0
2020-04-14,245.0,96.0,23.0
2020-04-13,283.0,104.0,18.0
2020-04-12,303.0,100.0,19.0
2020-04-11,264.0,108.0,27.0
2020-04-10,281.0,133.0,24.0
2020-04-09,290.0,102.0,23.0
2020-04-08,283.0,87.0,24.0
2020-04-07,303.0,73.0,72.0
2020-04-06,284.0,94.0,47.0
2020-04-05,292.0,,74.0
2020-04-04,284.0,81.0,17.0
