ltla,sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E07000046,female,1582,1682,1613,1612,1412,1615,1489,1668,1968,2337,2523,2603,2583,2884,2158,1580,1190,816,559
E07000046,male,1713,1815,1726,1831,1539,1577,1385,1524,1761,2281,2431,2341,2427,2766,2139,1441,1018,524,199
E07000047,female,1235,1416,1295,1405,1002,1196,1189,1333,1642,1981,2300,2095,2116,2340,1772,1286,1021,729,563
E07000047,male,1253,1466,1482,1499,1114,1250,1165,1180,1465,1923,2151,2055,1912,2262,1750,1198,819,438,204
E07000061,female,2923,2562,2550,2833,2779,2772,3067,2974,3178,3435,3512,3177,3142,3677,2733,2477,2123,1710,1249
E07000061,male,2954,2876,2573,3062,3094,2792,2982,2789,3045,3298,3387,2982,2654,3310,2468,2015,1497,990,563
E07000062,female,2793,2662,2368,2736,2702,2965,2788,2583,2929,3481,3453,3139,2794,2977,2023,1604,1221,942,741
E07000062,male,2963,2815,2478,2753,2717,2768,2822,2542,3046,3459,3308,2837,2599,2822,1982,1386,934,528,277
E07000063,female,2387,2742,2639,2684,2182,2349,2480,2746,3314,3796,3845,3426,3387,3786,2996,2468,2023,1502,1145
E07000063,male,2664,3010,2899,2920,2391,2415,2483,2368,2937,3659,3791,3303,3130,3482,2583,2026,1556,933,451
E07000064,female,1932,2320,2138,2360,1888,1853,1868,2009,2522,3235,3527,3391,3530,4498,3461,2837,2225,1726,1263
E07000064,male,2136,2313,2310,2618,2051,1842,1673,1747,2343,3033,3381,3090,3179,4064,3069,2386,1698,1106,570
E07000065,female,3729,4255,4301,4286,3271,3377,3616,3994,5172,6122,6305,5627,5433,6382,4908,3772,3070,2057,1552
E07000065,male,3882,4634,4438,4462,3590,3373,3417,3314,4627,5630,6053,5482,4897,5693,4480,3250,2370,1327,642
E07000066,female,6131,5707,5121,5312,5062,6245,6294,6133,6341,6771,6608,5560,4870,5117,3805,3262,2623,1607,959
E07000066,male,6315,6118,5362,5489,5219,5904,5735,5799,6045,6578,6209,5410,4487,4722,3219,2570,1876,972,394
E07000067,female,4201,4741,4217,4103,3683,4471,4559,4655,5365,5937,5717,4831,4536,5005,3450,2629,2008,1511,1076
E07000067,male,4586,4951,4477,4479,3766,4211,4400,4227,5326,5763,5521,4701,4355,4514,3333,2333,1582,917,393
E07000068,female,2061,2153,2174,2157,1924,2155,2391,2424,2682,2979,3086,2482,2077,2278,1775,1637,1352,947,606
E07000068,male,2302,2138,2208,2151,2014,2277,2070,2397,2401,2878,2986,2393,2003,2126,1575,1270,1010,582,282
E07000069,female,2160,2323,2306,2517,2349,2282,2188,2261,2827,3313,3286,2880,3045,3709,2836,2307,1602,978,605
E07000069,male,2264,2278,2379,2736,2549,2413,2098,2085,2637,3200,3250,2903,2690,3312,2522,1909,1259,642,284
E07000070,female,4855,5070,4769,4526,4813,5435,5627,5562,6159,6563,6291,5357,4812,5430,3886,3198,2455,1656,1070
E07000070,male,5210,5375,5026,5033,4888,5468,5569,5454,6158,6288,6085,5337,4537,4938,3517,2691,2091,1040,480
E07000071,female,5728,5245,4745,5320,7216,6661,6155,5924,6094,6603,6059,5169,4864,5451,3840,3006,2391,1559,1063
E07000071,male,5950,5784,4960,5846,8062,6847,6173,5964,6197,6354,5967,4942,4493,4777,3522,2665,1876,1014,430
E07000072,female,3957,3677,3398,3360,3437,3912,4071,4329,4637,5119,5073,4198,3709,3938,3023,2451,2023,1460,991
E07000072,male,4084,3942,3497,3663,3644,3661,3610,3903,4231,4758,4776,3989,3412,3701,2720,2046,1529,937,408
E07000073,female,3236,2849,2353,2314,2376,3065,3430,2952,2894,3046,2967,2639,2151,1973,1531,1431,1327,813,450
E07000073,male,3477,3056,2457,2593,2509,2810,3101,2897,2737,2844,2858,2558,2052,1780,1271,1041,820,505,172
E07000074,female,1434,1597,1662,1661,1371,1415,1402,1626,2146,2653,2416,2349,2229,2602,1841,1403,932,645,442
E07000074,male,1577,1685,1742,1887,1516,1489,1219,1482,1936,2406,2496,2370,2181,2497,1799,1294,856,393,173
E07000075,female,2018,2325,2298,2448,2154,2061,2065,2454,2965,3436,3275,2806,2685,3131,2395,1952,1485,1017,556
E07000075,male,2129,2502,2367,2581,2320,2206,1953,2211,2868,3214,3208,2851,2520,2910,2103,1664,1232,594,233
E07000076,female,3498,3669,3336,3700,3320,3237,3076,3165,4025,4805,5103,4903,5039,6669,5108,4075,3154,2183,1521
E07000076,male,3726,3637,3664,4007,3587,3176,2780,2864,3578,4520,4790,4489,4574,5769,4739,3715,2526,1436,627
E07000077,female,2441,2626,2657,2439,1832,2076,2261,2612,3221,3589,3470,2885,2419,2574,1922,1520,1163,873,622
E07000077,male,2565,2854,2714,2657,2092,2083,1993,2443,2959,3423,3344,2909,2418,2615,1863,1293,990,522,266
E07000078,female,3266,3080,2994,3737,4324,4252,4049,3617,3673,3868,4147,3364,3111,3293,2568,2113,1774,1316,960
E07000078,male,3382,3297,2943,3387,4025,4179,4424,3922,3786,4089,3940,3375,2923,2955,2197,1818,1239,790,415
E07000079,female,1948,2246,2241,2317,1988,1782,1890,2218,2873,3376,3561,3158,3055,3247,2595,2016,1701,1163,782
E07000079,male,1971,2263,2247,2433,2251,1785,1814,1941,2754,3289,3220,2965,2904,3042,2399,1807,1253,719,334
E07000080,female,2024,2168,2109,2683,2131,1943,1987,1976,2645,3310,3365,3069,3057,3277,2450,1818,1390,944,677
E07000080,male,2139,2213,2231,2787,2353,2052,1846,1865,2529,3224,3283,2935,2901,3145,2399,1745,1065,566,275
E07000081,female,4358,3941,3562,3687,3888,4757,4555,3904,4189,4729,4560,3841,3217,3250,2584,1955,1589,1106,726
E07000081,male,4510,4060,3558,4038,4124,4254,4475,4120,4310,4711,4540,3761,3078,3037,2337,1738,1145,674,301
E07000082,female,2898,3347,3215,3158,2569,2866,2879,3148,4167,4651,4716,4152,3837,4202,3103,2432,1894,1238,827
E07000082,male,3184,3518,3333,3437,2859,2781,2743,3150,4069,4562,4451,4086,3787,3917,2895,2152,1439,805,307
