ltla,sex,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
E07000081,female,2863,1442,5269,4421,4669,4473,3720,4477,4732,4133,3440,3154,3048,2152,1591,1145,790
E07000081,male,2954,1495,5694,4203,4307,4476,3955,4471,4597,4320,3370,2855,2618,1884,1295,714,324
E07000082,female,2695,1321,3502,2807,3120,3306,3689,4619,4756,4617,3939,3961,3751,2608,2045,1333,720
E07000082,male,2805,1363,4090,2850,2785,3269,3553,4512,4693,4366,3918,3618,3460,2373,1586,874,289
E07000083,female,1899,912,2707,2623,2899,3047,2771,3205,3492,3330,2885,2907,2826,2073,1546,1006,722
E07000083,male,2046,986,2817,2540,2539,2903,2672,3223,3524,3106,2691,2712,2613,1837,1282,638,310
E07000084,female,3880,1924,5740,5161,6063,6438,6010,6681,6723,5909,4753,4424,4517,2969,2186,1350,870
E07000084,male,4093,1864,6360,4870,5598,6056,5877,6572,6799,6024,4702,4167,3983,2570,1763,959,483
E07000085,female,2807,1394,3887,2785,2783,3510,3842,4593,5108,4676,3936,3737,3969,2845,2099,1492,1028
E07000085,male,2928,1489,4105,2684,2631,2888,3267,4383,4485,4531,3894,3573,3661,2326,1787,983,499
E07000086,female,2900,1407,4272,4138,4477,4569,4403,4720,4879,4551,3834,3701,3565,2514,2014,1340,883
E07000086,male,3217,1471,4565,3924,3932,4167,4061,4626,4665,4349,3794,3378,3255,2129,1540,906,452
E07000087,female,2425,1221,3695,2987,3300,3322,3529,4370,4614,4350,3615,3674,3827,2810,2167,1505,884
E07000087,male,2539,1347,4373,3079,3123,3310,3122,4069,4331,4248,3530,3249,3583,2261,1779,1054,421
E07000088,female,1822,964,3127,2644,2641,2556,2439,2974,3142,2923,2531,2470,2444,1582,1317,906,555
E07000088,male,2050,936,3729,2826,2659,2623,2415,2761,3008,2963,2474,2277,2286,1379,1002,591,255
E07000089,female,2337,1109,2550,2182,2556,3285,3548,3779,3845,3220,2659,2562,2828,2028,1441,913,653
E07000089,male,2475,1212,3143,2499,2696,2968,3448,3774,3773,3313,2534,2266,2423,1674,1183,618,311
E07000090,female,2723,1327,4645,3630,3594,3442,3330,4342,4852,4756,4141,3877,4134,2930,2389,1687,1006
E07000090,male,2813,1349,4967,3621,3392,3242,3030,3894,4396,4422,3900,3619,3743,2468,1803,1157,539
E07000091,female,3563,1789,5227,4093,4231,4448,4846,6152,6979,6833,6393,6745,7135,5028,4209,2932,2273
E07000091,male,3701,1902,5763,4116,3904,4047,4317,5567,6391,6428,5934,6142,6563,4343,3308,2142,1077
E07000092,female,1997,916,3433,3291,3722,3521,3406,3534,3493,2870,2243,2039,1877,1362,1050,631,490
E07000092,male,2182,1060,3887,3591,3860,3686,3386,3517,3505,3081,2286,1874,1890,1220,804,395,197
E07000093,female,2770,1330,3820,3353,3587,3962,3953,4755,4862,4567,3685,3759,3918,2621,2003,1398,949
E07000093,male,2831,1337,4029,3248,3319,3590,3749,4481,4827,4373,3814,3428,3575,2293,1767,861,420
E07000094,female,2829,1462,6216,3095,3064,3662,3939,4381,4665,4157,3653,3569,3622,2526,2002,1496,1092
E07000094,male,3202,1614,5638,3035,2868,3281,3761,4185,4487,4215,3584,3257,3343,2261,1616,996,508
E07000095,female,2160,1043,3466,3014,3371,3556,3132,3542,3858,3206,2633,2295,2430,1844,1525,974,519
E07000095,male,2305,1192,3809,3031,2973,3176,2891,3195,3448,2990,2412,2073,2185,1436,1150,625,249
E07000096,female,3393,1813,4811,4549,5521,5878,5297,5625,5524,5306,4396,3755,3588,2526,2068,1576,1033
E07000096,male,3639,1813,5190,4533,5056,5340,5238,5571,5472,5142,4318,3621,3227,2065,1562,977,481
E07000098,female,2566,1229,3454,3048,3325,3792,3618,3822,4033,3461,2833,2634,2598,1871,1593,1096,802
