catchment_year,msoa,trust_code,patients_from_msoa_to_trust,total_patients_of_msoa
2012,E02005195,R0A,39,2856
2012,E02005292,R0A,37,2459
2012,E02005318,R0A,37,3333
2012,E02002597,R0A,37,3945
2012,E02006210,R0A,38,1854
2012,E02005245,R0A,38,2769
2012,E02002609,R0A,38,3499
2012,E02002636,R0A,38,3541
2012,E02001420,R0A,38,4710
2012,E02002645,R0A,38,3138
2012,E02005206,R0A,38,3091
2012,E02002630,R0A,38,2463
2012,E02005205,R0A,38,2794
2012,E02004022,R0A,38,2267
2012,E02002634,R0A,38,3819
2012,E02005224,R0A,40,2681
2012,E02005244,R0A,40,2413
2012,E02003836,R0A,40,3148
2012,E02002640,R0A,40,3679
2012,E02005327,R0A,42,2559
2012,E02004016,R0A,42,3282
2012,E02005183,R0A,42,2784
2012,E02005291,R0A,42,2330
2012,E02005294,R0A,43,2621
2012,E02005228,R0A,43,2693
2012,E02005263,R0A,43,2655
2012,E02005216,R0A,43,2381
2012,E02005319,R0A,43,3662
2012,E02002593,R0A,43,2245
2012,E02005207,R0A,43,3745
2012,E02005276,R0A,43,2838
2012,E02005269,R0A,41,3400
2012,E02005301,R0A,41,2678
2012,E02002596,R0A,41,3428
2012,E02003824,R0A,41,2166
2012,E02005238,R0A,41,2381
2012,E02005246,R0A,41,2228
2012,E02005204,R0A,46,4386
2012,E02002642,R0A,46,4062
2012,E02005261,R0A,77,4481
2012,E02005189,R0A,44,2417
2012,E02005250,R0A,115,3402
2012,E02006884,R0A,171,5660
2012,E02005325,R0A,60,4524
2012,E02005177,R0A,65,2887
2012,E02005252,R0A,101,3899
2012,E02005251,R0A,67,2936
2012,E02005231,R0A,55,3714
2012,E02006881,R0A,82,4428
2012,E02005211,R0A,51,3832
2012,E02005210,R0A,60,4736
2012,E02005281,R0A,134,3741
2012,E02005296,R0A,55,2491
2012,E02006208,R0A,59,3033
2012,E02006206,R0A,45,3119
2012,E02006871,R0A,81,5405
2012,E02005298,R0A,52,2720
2012,E02005290,R0A,45,2657
2012,E02005284,R0A,83,2598
2012,E02005271,R0A,65,2786
2012,E02005203,R0A,44,3539
2012,E02005247,R0A,91,3681
2012,E02005257,R0A,48,2779
2012,E02005249,R0A,97,4155
2012,E02005176,R0A,71,3911
2012,E02006205,R0A,67,2465
2012,E02005279,R0A,134,4506
2012,E02005192,R0A,49,2781
2012,E02005297,R0A,51,3137
2012,E02005289,R0A,44,2361
2012,E02005217,R0A,116,5674
2012,E02005215,R0A,87,5391
2012,E02006209,R0A,78,3742
2012,E02005299,R0A,55,2713
2012,E02005285,R0A,119,2639
2012,E02005194,R0A,61,3364
2012,E02005181,R0A,59,2853
2012,E02005266,R0A,76,3836
2012,E02005278,R0A,107,3102
2012,E02005226,R0A,69,3862
2012,E02005213,R0A,84,4937
2012,E02005178,R0A,107,4023
2012,E02005265,R0A,71,4694
2012,E02003829,R0A,54,2576
2012,E02001295,R0A,132,3406
2012,E02003826,R0A,59,3713
2012,E02003827,R0A,57,4385
2012,E02001291,R0A,140,3229
2012,E02001296,R0A,161,4057
2012,E02003839,R0A,49,3157
2012,E02003814,R0A,110,3190
2012,E02003982,R0A,63,3677
2012,E02001304,R0A,193,4988
2012,E02001289,R0A,163,3824
2012,E02003819,R0A,63,2511
2012,E02003983,R0A,58,3869
2012,E02005182,R0A,58,2946
2012,E02005196,R0A,56,3244
2012,E02002646,R0A,44,3568
2012,E02002591,R0A,124,2723
2012,E02002643,R0A,44,3671
2012,E02005221,R0A,74,4419
2012,E02004007,R0A,56,5309
2012,E02003876,R0A,69,2282
2012,E02002631,R0A,92,3508
2012,E02005308,R0A,70,2958
2012,E02001316,R0A,131,3095
2012,E02005212,R0A,62,4381
2012,E02003820,R0A,56,2561
2012,E02003833,R0A,48,2783
2012,E02003984,R0A,52,3671
2012,E02001298,R0A,165,3532
2012,E02002622,R0A,89,4993
2012,E02005295,R0A,45,2760
2012,E02001309,R0A,181,3697
2012,E02001292,R0A,154,3141
2012,E02005199,R0A,48,2816
2012,E02004028,R0A,61,3465
2012,E02004026,R0A,64,3606
2012,E02003879,R0A,91,2781
2012,E02003835,R0A,71,3356
2012,E02003830,R0A,45,3512
2012,E02001324,R0A,127,3525
2012,E02005256,R0A,50,2775
2012,E02002265,R0A,49,2306
2012,E02001288,R0A,120,3016
2012,E02005328,R0A,54,3164
2012,E02005303,R0A,49,2762
2012,E02002651,R0A,49,3744
2012,E02004020,R0A,44,3356
2012,E02005219,R0A,73,3534
2012,E02003840,R0A,49,3976
2012,E02003831,R0A,71,3378
2012,E02005180,R0A,54,2845
2012,E02002614,R0A,65,1983
2012,E02004024,R0A,58,3039
2012,E02004017,R0A,66,3433
2012,E02005272,R0A,57,2935
2012,E02001326,R0A,138,3212
2012,E02001321,R0A,121,3213
2012,E02002619,R0A,86,3933
2012,E02005280,R0A,154,4656
2012,E02002599,R0A,44,4061
2012,E02001310,R0A,156,3874
2012,E02005332,R0A,44,3401
2012,E02003821,R0A,66,2490
2012,E02003882,R0A,112,4103
2012,E02002632,R0A,94,2191
2012,E02003813,R0A,90,2832
2012,E02003837,R0A,100,4333
2012,E02003838,R0A,73,2639
2012,E02003977,R0A,48,2743
2012,E02003888,R0A,57,3011
2012,E02004018,R0A,55,3378
2012,E02002613,R0A,78,2210
2012,E02004019,R0A,52,3294
2012,E02003979,R0A,75,3856
2012,E02002621,R0A,69,3462
2012,E02002256,R0A,65,3971
2012,E02005277,R0A,63,3345
2012,E02001312,R0A,144,3147
2012,E02002617,R0A,82,3788
2012,E02001300,R0A,152,3524
2012,E02002620,R0A,70,3838
2012,E02005202,R0A,102,3883
2012,E02002590,R0A,63,2617
2012,E02002627,R0A,53,2725
2012,E02002624,R0A,57,3160
2012,E02001305,R0A,158,3298
2012,E02005329,R0A,47,3676
2012,E02002611,R0A,55,2888
2012,E02005302,R0A,53,2722
2012,E02005258,R0A,59,3300
2012,E02002628,R0A,45,3210
2012,E02002615,R0A,65,3890
2012,E02001306,R0A,118,2970
2012,E02005218,R0A,69,3418
2012,E02005200,R0A,55,3409
